task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task174,F:\kaggle\neurogolf-2026\experiments\v209_low100_extended_optimizer_20260702\task174.onnx,True,False,3,3,0,8759,178,8937,15.902044758618608,8026,9685bb116b9b9081425167639dc5079a83582e0e127567a80bf9391e04e0ea4f,,9685bb116b9b9081425167639dc5079a83582e0e127567a80bf9391e04e0ea4f
task118,F:\kaggle\neurogolf-2026\experiments\v217_all_extended_bypass_20260705\task118\n0015_where_i1\task118.onnx,True,False,3,3,0,18452,285,18737,15.161744542401488,1768,3c78f7de71c28c77d8e63b4b4901651a8176bc69c85d8e0d35e9647acfa553ce,,3c78f7de71c28c77d8e63b4b4901651a8176bc69c85d8e0d35e9647acfa553ce
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0059_and_i1\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20674,4da3f0db791354cdb819dd0b2cdc346de185c688cf0c601704dbd38074a05b8c,,4da3f0db791354cdb819dd0b2cdc346de185c688cf0c601704dbd38074a05b8c
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0065_and_i0\task133.onnx,True,False,3,3,0,32286,1274,33560,14.578909839418857,20645,27c1ca85757d3be1c487b315e400fe434b988edafd0426c7c96df65cb07516b1,,27c1ca85757d3be1c487b315e400fe434b988edafd0426c7c96df65cb07516b1
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0065_and_i1\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20665,5e1777d1dc96b13c54e5c1ba6c2d1761cf6675719fea6e03e2515898293b5790,,5e1777d1dc96b13c54e5c1ba6c2d1761cf6675719fea6e03e2515898293b5790
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0071_and_i0\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20666,71f1e8ba47083f3815fa3bac5ce0a642ecb24844f097afc89a83cabe6b735713,,71f1e8ba47083f3815fa3bac5ce0a642ecb24844f097afc89a83cabe6b735713
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0071_and_i1\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20674,1cb72bf7b2b2fe5efdf5e049cc026369349b49b394b3f463aa43e548bcce8fee,,1cb72bf7b2b2fe5efdf5e049cc026369349b49b394b3f463aa43e548bcce8fee
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0077_and_i0\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20673,2d1c510b026edbb23ad50016b84c4d2c26cf848bc951ea554c922b0c5785972f,,2d1c510b026edbb23ad50016b84c4d2c26cf848bc951ea554c922b0c5785972f
task133,F:\kaggle\neurogolf-2026\experiments\v217_low60_extended_bypass_20260705\task133\n0077_and_i1\task133.onnx,True,False,3,3,0,32286,1275,33561,14.57888004248496,20673,dd5295524d91e85211431adbb75fca4246462465acf1ccef80690e1f862cccb9,,dd5295524d91e85211431adbb75fca4246462465acf1ccef80690e1f862cccb9
task118,F:\kaggle\neurogolf-2026\experiments\v217_onnxoptimizer_20260705\task118.onnx,True,False,3,3,0,18453,285,18738,15.161691173488867,1800,94e2e0c833fdec4056e3a452a3314d9968ff6e99104ec73148e0b1cb483b1a60,,94e2e0c833fdec4056e3a452a3314d9968ff6e99104ec73148e0b1cb483b1a60
